number,broad,fine
1,neurons,dI2_dI4
2,neurons,dI2_dI4
3,progenitors,dp4-dp5
4,neurons,dI6-V0
5,progenitors,dp1-dp3
6,neurons,CNTN2
7,neurons,dI3_dI5
8,neurons,dI6-V0_CNTN2
9,neurons,dI3_dI5
10,progenitors,dp1-dp3
11,neurons,dI3_dI5
12,neurons,dI3_dI5
13,neurons,dI6-V0
14,progenitors,dp6-p1
15,neurons,dI3_dI5
16,neurons,dI2_dI4
17,OPC,OPC
18,progenitors,p2
19,RP,RP
20,FP,FP
21,neurons,V1_CNTN2
22,neurons,dI6-V0_CNTN2
23,pericytes,pericytes
24,neurons,MN
25,microglia,microglia_vasculature
26,neurons,BHLHE22_Foxp1
