number,broad,fine
1,progenitors,progenitors
2,OPC,OPC
3,progenitors,progenitors
4,OPC,OPC
5,neurons,neurons
6,OPC,OPC
7,neurons,neurons
8,neurons,neurons
9,RP,RP
10,neurons,neurons
11,progenitors,progenitors
12,neurons,neurons
13,progenitors,progenitors
14,progenitors,progenitors
15,neurons,neurons
16,OPC,OPC
17,FP,FP
18,neurons,neurons
19,OPC,OPC
20,neurons,neurons
21,MFOL,MFOL
22,RP,RP
23,OPC,OPC
24,pericytes,pericytes
25,progenitors,progenitors
26,progenitors,progenitors
27,neurons,neurons
28,progenitors,progenitors
29,progenitors,progenitors
30,neurons,neurons
31,RP,RP
32,OPC,OPC
33,neurons,neurons
34,RP,RP
35,MFOL,MFOL
36,neurons,neurons
37,blood,blood
38,OPC,OPC
39,neurons,neurons
40,vasculature,vasculature
41,microglia,microglia
