number,broad,fine
1,OPC,OPC
2,progenitors,progenitors
3,progenitors,progenitors
4,progenitors,progenitors
5,OPC,OPC
6,OPC,OPC
7,neurons,inhibitory_neurons
8,progenitors,progenitors
9,progenitors,progenitors
10,neurons,inhibitory_neurons
11,progenitors,progenitors
12,OPC,OPC
13,OPC,OPC
14,neurons,inhibitory_neurons
15,neurons,excitatory_neurons
16,pericytes,pericytes
17,RP,FP/RP
18,blood,blood
19,MFOL,MFOL
20,MFOL,MFOL
21,progenitors,progenitors
22,neurons,inhibitory_neurons
23,neurons,excitatory_neurons
24,neurons,MN
25,neurons,neurons_high_MT
26,neurons,inhibitory_neurons
27,OPC,OPC_high_ribo
28,microglia,microglia
29,vasculature,vasculature
