module,cluster,annotation
1_black,23,Vasculature
2_blue,2-3-5-9-14-15-19-21,OPC-MFOL-Ribosome
3_brown,18-23,Pericytes
4_cyan,22,Blood
5_darkred,6-8-11-16-20,Neuron_intracellular_transport
6_green,2-5-7-9-10-14-18-23,Mitotic_cell_cycle
7_greenyellow,2-5-7-9-10-14-18-23,Roofplate
8_grey60,6-8-11-16-20,Neuron_synaptic_contact
9_lightcyan,14,Microglia
10_lightgreen,6-8-11-16-20,Neuron_1
11_lightyellow,6-8-11-16-20,Neuron_2
12_magenta,6-8-11-16-20,Neuron_3
13_midnightblue,15-19,MFOL_late_stage
14_pink,6-8-11-16-20,Neuron_4
15_purple,13-17,Cilia-Flagella
16_red,6-8-11-16-20,Neuron_vesicular_transport
17_royalblue,16,CSF-cNS
18_salmon,6-8-11-16-20,Neuron_synaptic_signaling
29_tan,13-17,Floorplate
20_turquoise,1-4-7-10-12-13-17,Progenitors
21_yellow,20,Motorneurons
