number,broad,fine
1,OPC,OPC
2,progenitors,progenitors
3,neurons,inhibitory_neurons
4,OPC,OPC
5,progenitors,progenitors
6,progenitors,progenitors
7,neurons,inhibitory_neurons
8,OPC,OPC
9,OPC,OPC
10,progenitors,progenitors
11,progenitors,progenitors
12,FP/RP,FP/RP
13,progenitors,progenitors
14,pericytes,pericytes
15,progenitors,progenitors
16,MFOL,MFOL
17,neurons,excitatory_neurons
18,MFOL,MFOL
19,progenitors,progenitors
20,neurons,inhibitory_neurons
21,progenitors,progenitors
22,progenitors,progenitors
23,progenitors,progenitors
24,OPC,OPC
25,progenitors,progenitors
26,OPC,OPC
27,neurons,excitatory_neurons
28,neurons,neurons
29,OPC,OPC
30,neurons,MN
31,blood,blood
32,vasculature,vasculature
33,microglia,microglia
34,MFOL,MFOL
