number,broad,fine
1,OPC,OPC
2,progenitors,progenitors
3,progenitors,progenitors
4,progenitors,progenitors
5,progenitors,progenitors
6,OPC,OPC
7,progenitors,progenitors
8,neurons,inhibitory_neurons
9,neurons,inhibitory_neurons
10,OPC,OPC
11,neurons,inhibitory_neurons
12,MFOL,MFOL
13,OPC,OPC
14,OPC,OPC
15,progenitors,progenitors
16,neurons,excitatory_neurons
17,neurons,inhibitory_neurons
18,MFOL,MFOL
19,progenitors,progenitors
20,pericytes,pericytes
21,blood,blood
22,FP,FP
23,RP,RP
24,OPC,OPC
25,neurons,MN
26,neurons,excitatory_neurons
27,progenitors,progenitors
28,neurons,inhibitory_neurons
29,microglia,microglia
30,OPC,OPC
31,vasculature,vasculature
32,neurons,neurons_high_MT
33,RP,RP
34,neurons,CSF-cNS
