number,broad,fine
1,OPC,OPC
2,neurons,neurons
3,progenitors,progenitors
4,neurons,neurons
5,progenitors,progenitors
6,neurons,neurons
7,progenitors,progenitors
8,neurons,neurons
9,progenitors,progenitors
10,progenitors,progenitors
11,progenitors,progenitors
12,neurons,neurons
13,OPC,OPC
14,neurons,neurons
15,progenitors,progenitors
16,neurons,neurons
17,neurons,neurons
18,neurons,neurons
19,FP,FP
20,neurons,neurons
21,neurons,MN
22,pericytes,pericytes
23,OPC,OPC
24,neurons,neurons
25,MFOL,MFOL
26,neurons,neurons
27,microglia,microglia
28,blood,blood
