module,cluster,annotation
1_black,,cell_cycle
2_blue,,pericytes
3_brown,,neuron_devel/adhesion
4_cyan,,Apoptosis
5_darkgreen,,OPC_cell_Fate
6_darkred,,MN_transmembrane_transport
7_green,,progenitors
8_greenyellow,,progenitors_NKX6
9_grey60,,RP_dorsal_identity
10_lightcyan,,blood
11_lightgreen,,MN
12_lightyellow,,cell_cycle
13_magenta,,progenitor_
14_midnightblue,,microglia
15_pink,,mitotic_cellcycle
16_purple,,vasculature
17_red,,steroid_synthesis
18_royalblue,,OPC
19_salmon,,ribo_module
20_tan,,MFOL
21_turquoise,,neurogenesis
22_yellow,,FP
