number,broad,fine
1,progenitors,NPC
2,OPC,OPC
3,OPC,OPC
4,progenitors,NPC
5,progenitors,NPC
6,neurons,inhibitory_neurons
7,OPC,OPC
8,progenitors,NPC
9,progenitors,NPC
10,neurons,inhibitory_neurons
11,FP,FP
12,RP,RP
13,MFOL,MFOL
14,neurons,inhibitory_neurons
15,neurons,excitatory_neurons
16,progenitors,NPC
17,OPC,OPC
18,OPC,OPC
19,OPC,OPC
20,pericytes,pericytes
21,progenitors,NPC
22,neurons,MN
23,progenitors,NPC
24,RP,RP
25,neurons,excitatory_neurons
26,neurons,CSF-cNS
27,blood,blood
28,neurons,inhibitory_neurons
29,vasculature,vasculature
