module,cluster,annotation
1_black,8-11-12-24-26,Cilia-Flagella
2_blue,6-10-14-15-22-25-26-28,Motorneurons
3_brown,7-9-17-18-19-20-24-29,Mitotic_cell_cycle
4_cyan,1-5-6-10-14-15-22-25-26-28,Neuron_HOX
5_green,2-3-7-13-17-18-19,OPC-MFOL-Ribosome
6_greenyellow,13,MFOL_late_stage
7_grey60,3-6-7-15-22-25-26-28-29,Neuron_projection_development
8_lightcyan,6-10-14-15-22-25-26-28,Neuron_intracellular_transport
9_lightgreen,11,Floorplate
10_lightyellow,6-10-14-15-22-25-26-28,Neuron_1
11_magenta,29,Vasculature
12_midnightblue,6-10-14-15-22-25-26-28,Neuron_2
13_pink,6-10-14-15-22-25-26-28,Neuron_3
14_purple,11-12-16-24,Roofplate
15_red,6-10-14-15-22-25-26-28,Neuron_synaptic_contact
16_salmon,26,CSF-cNS
17_tan,27,Blood
18_turquoise,1-4-5-9-11-12-16-21-23-24,Progenitors
19_yellow,20-29,Pericytes
