"sample","number","broad","fine"
"B10_1",1,"OPC","OPC"
"B10_1",2,"progenitors","NPC"
"B10_1",3,"progenitors","NPC"
"B10_1",4,"progenitors","NPC_ventral_NKX6"
"B10_1",5,"OPC","OPC"
"B10_1",6,"OPC","OPC"
"B10_1",7,"MFOL","MFOL"
"B10_1",8,"progenitors","NPC_ventral_NKX6"
"B10_1",9,"OPC","OPC"
"B10_1",10,"OPC","OPC"
"B10_1",11,"MFOL","MFOL"
"B10_1",12,"neurons","interneurons_PAX2_BHLHE22_PRDM8"
"B10_1",13,"progenitors","NPCPAX6"
"B10_1",14,"OPC","OPC"
"B10_1",15,"neurons","neurons_NRN1"
"B10_1",16,"pericytes","pericytes"
"B10_1",17,"progenitors","NPC"
"B10_1",18,"FP","FP"
"B10_1",19,"neurons","CSF-cNS"
"B10_1",20,"blood","blood_vasc_microglia"
"B10_1",21,"neurons","MN"
"B10_1",22,"RP","RP"
"B10_2",1,"progenitors","NPC"
"B10_2",2,"OPC","OPC"
"B10_2",3,"progenitors","NPC"
"B10_2",4,"progenitors","NPC"
"B10_2",5,"neurons","inhibitory_neurons"
"B10_2",6,"OPC","OPC"
"B10_2",7,"neurons","excitatory_neurons"
"B10_2",8,"OPC","OPC"
"B10_2",9,"OPC","OPC"
"B10_2",10,"progenitors","NPC"
"B10_2",11,"neurons","inhibitory_neurons"
"B10_2",12,"neurons","inhibitory_neurons"
"B10_2",13,"MFOL","MFOL"
"B10_2",14,"progenitors","NPC"
"B10_2",15,"neurons","MN"
"B10_2",16,"neurons","neurons"
"B10_2",17,"RP","RP"
"B10_2",18,"OPC","OPC"
"B10_2",19,"pericytes","pericytes"
"B10_2",20,"progenitors","NPC"
"B10_2",21,"progenitors","NPC"
"B10_2",22,"blood","blood"
"B10_2",23,"progenitors","NPC"
"B10_2",24,"vasculature","vasculature"
"B10_int",1,"progenitors","NPC"
"B10_int",2,"OPC","OPC"
"B10_int",3,"OPC","OPC"
"B10_int",4,"progenitors","NPC"
"B10_int",5,"OPC","OPC"
"B10_int",6,"neurons","inhibitory_neurons"
"B10_int",7,"progenitors","NPC"
"B10_int",8,"neurons","inhibitory_neurons"
"B10_int",9,"OPC","OPC"
"B10_int",10,"progenitors","NPC"
"B10_int",11,"neurons","excitatory neurons"
"B10_int",12,"progenitors","NPC"
"B10_int",13,"progenitors","NPC"
"B10_int",14,"OPC","OPC"
"B10_int",15,"MFOL","MFOL"
"B10_int",16,"neurons","inhibitory_neurons"
"B10_int",17,"FP/RP","FP/RP"
"B10_int",18,"pericytes","pericytes"
"B10_int",19,"MFOL","MFOL"
"B10_int",20,"neurons","MN"
"B10_int",21,"OPC","OPC"
"B10_int",22,"blood","blood"
"B10_int",23,"vasculature","vasculature"
"B05_1",1,"progenitors","prog"
"B05_1",2,"progenitors","dp4_GSX1"
"B05_1",3,"progenitors","dp1_3_PCNA_G2M"
"B05_1",4,"progenitors","dp1_3_PCNA_S"
"B05_1",5,"progenitors","dp5-p0_DBX2"
"B05_1",6,"neurons","V0_EVX1"
"B05_1",7,"progenitors","prog_G2M"
"B05_1",8,"neurons","dI3_dI5_V0"
"B05_1",9,"neurons","dI6-V0"
"B05_1",10,"progenitors","p2_pMN_p3"
"B05_1",11,"progenitors","dp6-p0"
"B05_1",12,"neurons","dI3_dI5"
"B05_1",13,"RP","RP"
"B05_1",14,"neurons","dI6-V0"
"B05_1",15,"FP","FP"
"B05_1",16,"neurons","MN"
"B05_1",17,"neurons","LHX1+_prog"
"B05_1",18,"progenitors","dp5-p0_DBX2"
"B05_1",19,"neurons","dI1"
"B05_1",20,"neurons","V1_EN1"
"B05_1",21,"pericytes","pericytes"
"B05_1",22,"neurons","V2b"
"B05_1",23,"neurons","V1_EN1_SST"
"B05_1",24,"neurons","V2a_SOX14_SHOX2_LHX3_VSX2"
"B07_1",1,"neurons","dI2_dI4"
"B07_1",2,"neurons","dI2_dI4"
"B07_1",3,"progenitors","dp4-dp5"
"B07_1",4,"neurons","dI6-V0"
"B07_1",5,"progenitors","dp1-dp3"
"B07_1",6,"neurons","CNTN2"
"B07_1",7,"neurons","dI3_dI5"
"B07_1",8,"neurons","dI6-V0_CNTN2"
"B07_1",9,"neurons","dI3_dI5"
"B07_1",10,"progenitors","dp1-dp3"
"B07_1",11,"neurons","dI3_dI5"
"B07_1",12,"neurons","dI3_dI5"
"B07_1",13,"neurons","dI6-V0"
"B07_1",14,"progenitors","dp6-p1"
"B07_1",15,"neurons","dI3_dI5"
"B07_1",16,"neurons","dI2_dI4"
"B07_1",17,"OPC","OPC"
"B07_1",18,"progenitors","p2"
"B07_1",19,"RP","RP"
"B07_1",20,"FP","FP"
"B07_1",21,"neurons","V1_CNTN2"
"B07_1",22,"neurons","dI6-V0_CNTN2"
"B07_1",23,"pericytes","pericytes"
"B07_1",24,"neurons","MN"
"B07_1",25,"microglia","microglia_vasculature"
"B07_1",26,"neurons","BHLHE22_Foxp1"
"L10_1",1,"progenitors","NPC"
"L10_1",2,"OPC","OPC"
"L10_1",3,"OPC","OPC"
"L10_1",4,"progenitors","NPC"
"L10_1",5,"progenitors","NPC"
"L10_1",6,"progenitors","NPC"
"L10_1",7,"progenitors","NPC"
"L10_1",8,"MFOL","MFOL"
"L10_1",9,"neurons","inhibitory_neurons"
"L10_1",10,"FP","FP"
"L10_1",11,"pericytes","pericytes"
"L10_1",12,"OPC","OPC"
"L10_1",13,"neurons","inhibitory_neurons"
"L10_1",14,"progenitors","NPC"
"L10_1",15,"OPC","OPC"
"L10_1",16,"progenitors","NPC"
"L10_1",17,"neurons","inhibitory_neurons"
"L10_1",18,"neurons","excitatory_neurons"
"L10_1",19,"RP","RP"
"L10_1",20,"RP","RP"
"L10_1",21,"neurons","excitatory_neurons"
"L10_2",1,"progenitors","NPC"
"L10_2",2,"progenitors","NPC"
"L10_2",3,"progenitors","NPC"
"L10_2",4,"OPC","OPC"
"L10_2",5,"OPC","OPC"
"L10_2",6,"neurons","inhibitory_neurons"
"L10_2",7,"progenitors","NPC"
"L10_2",8,"RP","RP"
"L10_2",9,"progenitors","NPC"
"L10_2",10,"MFOL","MFOL"
"L10_2",11,"progenitors","NPC"
"L10_2",12,"neurons","excitatory_neurons"
"L10_2",13,"OPC","OPC"
"L10_2",14,"neurons","inhibitory_neurons"
"L10_2",15,"pericytes","pericytes"
"L10_2",16,"neurons","inhibitory_neurons"
"L10_2",17,"OPC","OPC"
"L10_2",18,"MFOL","MFOL"
"L10_2",19,"neurons","excitatory_neurons"
"L10_2",20,"FP","FP"
"L10_2",21,"neurons",""
"L10_2",22,"blood","blood"
"L10_2",23,"progenitors","NPC"
"L10_2",24,"microglia","microglia_vasculature"
"L10_int",1,"progenitors","NPC"
"L10_int",2,"progenitors","NPC"
"L10_int",3,"progenitors","NPC"
"L10_int",4,"progenitors","NPC_GSTA4_ENO1_GBE1"
"L10_int",5,"OPC","OPC"
"L10_int",6,"OPC","OPC"
"L10_int",7,"MFOL","MFOL"
"L10_int",8,"OPC","OPC"
"L10_int",9,"progenitors","NPC"
"L10_int",10,"progenitors","NPC_PAX6_NKX6-1"
"L10_int",11,"neurons","inhibitory_neurons"
"L10_int",12,"pericytes","pericytes"
"L10_int",13,"neurons","inhibitory_neurons"
"L10_int",14,"progenitors","NPC_GSTA4_ENO1_GBE1"
"L10_int",15,"neurons","excitatory_neurons"
"L10_int",16,"OPC","OPC"
"L10_int",17,"OPC","OPC"
"L10_int",18,"RP","RP"
"L10_int",19,"RP","RP"
"L10_int",20,"neurons","inhibitory_neurons"
"L10_int",21,"neurons","inhibitory_neurons"
"L10_int",22,"progenitors","NPC_ventral"
"L10_int",23,"FP","FP"
"L10_int",24,"neurons","neurons"
"L10_int",25,"neurons","excitatory_neurons"
"L10_int",26,"blood","blood"
"L10_int",27,"progenitors","NPC_ribo"
"L10_int",28,"microglia","microglia"
"L10_int",29,"vasculature","vasculature"
"Poly10_1",1,"OPC","OPC"
"Poly10_1",2,"progenitors","NPC"
"Poly10_1",3,"OPC","OPC"
"Poly10_1",4,"OPC","OPC"
"Poly10_1",5,"progenitors","NPC"
"Poly10_1",6,"progenitors","NPC"
"Poly10_1",7,"MFOL","MFOL"
"Poly10_1",8,"neurons","inhibitory_neurons"
"Poly10_1",9,"RP","RP"
"Poly10_1",10,"neurons","inhibitory_neurons"
"Poly10_1",11,"neurons","excitatory_neurons"
"Poly10_1",12,"progenitors","NPC"
"Poly10_1",13,"FP","FP"
"Poly10_1",14,"progenitors","NPC"
"Poly10_1",15,"pericytes","pericytes"
"Poly10_1",16,"progenitors","NPC"
"Poly10_1",17,"progenitors","NPC"
"Poly10_1",18,"neurons","inhibitory_neurons"
"Poly10_1",19,"neurons","MN"
"Poly10_1",20,"progenitors","NPC"
"Poly10_2",1,"progenitors","NPC"
"Poly10_2",2,"OPC","OPC"
"Poly10_2",3,"OPC","OPC"
"Poly10_2",4,"OPC","OPC"
"Poly10_2",5,"progenitors","NPC"
"Poly10_2",6,"progenitors","NPC"
"Poly10_2",7,"neurons","inhibitory_neurons"
"Poly10_2",8,"progenitors","NPC"
"Poly10_2",9,"progenitors","NPC"
"Poly10_2",10,"RP","RP"
"Poly10_2",11,"OPC","OPC"
"Poly10_2",12,"FP","FP"
"Poly10_2",13,"neurons","excitatory_neurons"
"Poly10_2",14,"MFOL","MFOL"
"Poly10_2",15,"progenitors","NPC"
"Poly10_2",16,"neurons","inhibitory_neurons"
"Poly10_2",17,"pericytes","pericytes"
"Poly10_2",18,"neurons","neurons"
"Poly10_2",19,"progenitors","NPC"
"Poly10_2",20,"neurons","inhibitory_neurons"
"Poly10_2",21,"neurons","MN"
"Poly10_2",22,"neurons","CSF-cNS"
"Poly10_2",23,"blood","blood"
"Poly10_int",1,"progenitors","NPC"
"Poly10_int",2,"OPC","OPC"
"Poly10_int",3,"OPC","OPC"
"Poly10_int",4,"progenitors","NPC"
"Poly10_int",5,"progenitors","NPC"
"Poly10_int",6,"neurons","inhibitory_neurons"
"Poly10_int",7,"OPC","OPC"
"Poly10_int",8,"progenitors","NPC"
"Poly10_int",9,"progenitors","NPC"
"Poly10_int",10,"neurons","inhibitory_neurons"
"Poly10_int",11,"FP","FP"
"Poly10_int",12,"RP","RP"
"Poly10_int",13,"MFOL","MFOL"
"Poly10_int",14,"neurons","inhibitory_neurons"
"Poly10_int",15,"neurons","excitatory_neurons"
"Poly10_int",16,"progenitors","NPC"
"Poly10_int",17,"OPC","OPC"
"Poly10_int",18,"OPC","OPC"
"Poly10_int",19,"OPC","OPC"
"Poly10_int",20,"pericytes","pericytes"
"Poly10_int",21,"progenitors","NPC"
"Poly10_int",22,"neurons","MN"
"Poly10_int",23,"progenitors","NPC"
"Poly10_int",24,"RP","RP"
"Poly10_int",25,"neurons","excitatory_neurons"
"Poly10_int",26,"neurons","CSF-cNS"
"Poly10_int",27,"blood","blood"
"Poly10_int",28,"neurons","inhibitory_neurons"
"Poly10_int",29,"vasculature","vasculature"
