"sample","module_number","module","cluster","annotation"
"B10_int","1","black","23","Vasculature"
"B10_int","2","blue","2-3-5-9-14-15-19-21","OPC-MFOL-Ribosome"
"B10_int","3","brown","18-23","Pericytes"
"B10_int","4","cyan","22","Blood"
"B10_int","5","darkred","6-8-11-16-20","Neuron_intracellular_transport"
"B10_int","6","green","2-5-7-9-10-14-18-23","Mitotic_cell_cycle"
"B10_int","7","greenyellow","2-5-7-9-10-14-18-23","Roofplate"
"B10_int","8","grey60","6-8-11-16-20","Neuron_synaptic_contact"
"B10_int","9","lightcyan","14","Microglia"
"B10_int","10","lightgreen","6-8-11-16-20","Neuron_1"
"B10_int","11","lightyellow","6-8-11-16-20","Neuron_2"
"B10_int","12","magenta","6-8-11-16-20","Neuron_3"
"B10_int","13","midnightblue","15-19","MFOL_late_stage"
"B10_int","14","pink","6-8-11-16-20","Neuron_4"
"B10_int","15","purple","13-17","Cilia-Flagella"
"B10_int","16","red","6-8-11-16-20","Neuron_vesicular_transport"
"B10_int","17","royalblue","16","CSF-cNS"
"B10_int","18","salmon","6-8-11-16-20","Neuron_synaptic_signaling"
"B10_int","29","tan","13-17","Floorplate"
"B10_int","20","turquoise","1-4-7-10-12-13-17","Progenitors"
"B10_int","21","yellow","20","Motorneurons"
"Devel_int","1","black",NA,"cell_cycle_TOP2A"
"Devel_int","2","blue",NA,"pericytes"
"Devel_int","3","brown",NA,"neuron_devel_adhesion"
"Devel_int","4","cyan",NA,"neuron_apoptosis"
"Devel_int","5","darkgreen",NA,"OPC_cell_Fate"
"Devel_int","6","darkred",NA,"MN_transmembrane_transport"
"Devel_int","7","green",NA,"progenitors"
"Devel_int","8","greenyellow",NA,"progenitors_NKX6"
"Devel_int","9","grey60",NA,"RP_dorsal_identity"
"Devel_int","10","lightcyan",NA,"blood"
"Devel_int","11","lightgreen",NA,"MN"
"Devel_int","12","lightyellow",NA,"cell_cycle"
"Devel_int","13","magenta",NA,"progenitor"
"Devel_int","14","midnightblue",NA,"microglia"
"Devel_int","15","pink",NA,"mitotic_cellcycle"
"Devel_int","16","purple",NA,"vasculature"
"Devel_int","17","red",NA,"steroid_synthesis"
"Devel_int","18","royalblue",NA,"OPC"
"Devel_int","19","salmon",NA,"ribo_module"
"Devel_int","20","tan",NA,"MFOL"
"Devel_int","21","turquoise",NA,"neurogenesis"
"Devel_int","22","yellow",NA,"FP"
"L10_int","1","bisque4","1-2-3-9-10-11-13-15-20-21-22-23-24-25","Neuron_HOXB5_HOXB6"
"L10_int","2","black","1-2-3-5-8-9-10-16-22","Progenitors_OPC_DBX_Notch1_Sox2"
"L10_int","3","blue","1-2-3-9-10-22-23","Progenitors_SOX1"
"L10_int","4","brown","1-2-3-9-10-18-19-22-23","Progenitors_GSTA2_LAMA1"
"L10_int","5","brown4","4-11-13-14-15-18-19-20-21-25-27","Progenitors_Dorsal"
"L10_int","6","cyan","28","Microglia"
"L10_int","7","darkgreen","28","Microglia"
"L10_int","8","darkgrey","1-2-3-9-10-22","Progenitors_1"
"L10_int","9","darkmagenta","24","CSF-cNS"
"L10_int","10","darkolivegreen","2-4-5-6-12-16-17-27-28-29","Chromosome_organisation"
"L10_int","11","darkorange","11-13-15-20-21-24-25","Neuron_NRN1"
"L10_int","12","darkorange2","2-3-5-8-9-11-13-15-16-20-21-22-25","Neuron_NRXN1"
"L10_int","13","darkred","18-19-23","Roofplate"
"L10_int","14","darkslateblue","11-13-15-20-21-25","Presynapse_assembly"
"L10_int","15","darkturquoise","5-6-7-8-16-17","OPC-MFOL"
"L10_int","16","floralwhite","2-4-6-16-17-27-","Cell_cycle_DNA_replication"
"L10_int","17","green","1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29","Ribosome"
"L10_int","18","greenyellow","29","Vasculature"
"L10_int","19","grey60","7","MFOL"
"L10_int","20","ivory","5-6-7-8-16-17","OPC_SOX8_SOX6"
"L10_int","21","lightcyan","2-3-22-23","Floorplate"
"L10_int","22","lightcyan1","1-2-3-9-10-22-","Progenitors_proteolysis"
"L10_int","23","lightgreen","23","FP"
"L10_int","24","lightsteelblue1","5-6-8-11-13-15-16-17-20-21-25","OPC_MYT1"
