"sample","module_number","module","ID","Term","Ont","N","DE","P.DE","type"
"B10_int","1","black","GO:0050878","regulation of body fluid levels","BP",11,3,3.39661139452363e-05,"GOTerms"
"B10_int","1","black","GO:0008015","blood circulation","BP",28,3,0.00062617996281829,"GOTerms"
"B10_int","1","black","GO:0003013","circulatory system process","BP",28,3,0.00062617996281829,"GOTerms"
"B10_int","1","black","GO:0007596","blood coagulation","BP",7,2,0.00074402153673556,"GOTerms"
"B10_int","1","black","GO:0007599","hemostasis","BP",7,2,0.00074402153673556,"GOTerms"
"B10_int","1","black","GO:0035590","purinergic nucleotide receptor signaling pathway","BP",7,2,0.00074402153673556,"GOTerms"
"B10_int","1","black","GO:0050817","coagulation","BP",8,2,0.000988135344772959,"GOTerms"
"B10_int","1","black","GO:0008217","regulation of blood pressure","BP",8,2,0.000988135344772959,"GOTerms"
"B10_int","1","black","GO:0050728","negative regulation of inflammatory response","BP",10,2,0.00157564205150201,"GOTerms"
"B10_int","1","black","GO:0031348","negative regulation of defense response","BP",13,2,0.0026991393068372,"GOTerms"
"B10_int","1","black","GO:0006954","inflammatory response","BP",50,3,0.00340510318212601,"GOTerms"
"B10_int","1","black","GO:0055065","metal ion homeostasis","BP",51,3,0.00360229380376123,"GOTerms"
"B10_int","1","black","GO:0055080","cation homeostasis","BP",59,3,0.0054321816601852,"GOTerms"
"B10_int","1","black","GO:0098771","inorganic ion homeostasis","BP",59,3,0.0054321816601852,"GOTerms"
"B10_int","1","black","GO:0050801","ion homeostasis","BP",60,3,0.00569344215859204,"GOTerms"
"B10_int","1","black","GO:0019371","cyclooxygenase pathway","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:0003094","glomerular filtration","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:0042167","heme catabolic process","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:0006788","heme oxidation","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:0070254","mucus secretion","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:1900453","negative regulation of long-term synaptic depression","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:0070256","negative regulation of mucus secretion","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:0046149","pigment catabolic process","BP",1,1,0.00604838709677391,"GOTerms"
"B10_int","1","black","GO:0006787","porphyrin-containing compound catabolic process","BP",1,1,0.00604838709677391,"GOTerms"
