"sample","module_number","module","ID","Pathway","N","DE","P.DE","type"
"B10_int","1","black","path:gga04370","VEGF signaling pathway",55,3,0.00446025438227539,"KEGGPath"
"B10_int","1","black","path:gga04510","Focal adhesion",176,4,0.0219193531315766,"KEGGPath"
"B10_int","1","black","path:gga04514","Cell adhesion molecules",105,3,0.025710174346876,"KEGGPath"
"B10_int","1","black","path:gga04371","Apelin signaling pathway",114,3,0.0317387589622806,"KEGGPath"
"B10_int","2","blue","path:gga03010","Ribosome",116,38,2.95932737736226e-37,"KEGGPath"
"B10_int","2","blue","path:gga04514","Cell adhesion molecules",105,8,0.000835896809929268,"KEGGPath"
"B10_int","2","blue","path:gga04210","Apoptosis",116,8,0.00159529069899502,"KEGGPath"
"B10_int","2","blue","path:gga04310","Wnt signaling pathway",137,8,0.00447989898748955,"KEGGPath"
"B10_int","2","blue","path:gga04068","FoxO signaling pathway",113,7,0.00559200570374284,"KEGGPath"
"B10_int","2","blue","path:gga05132","Salmonella infection",221,10,0.00936522040764027,"KEGGPath"
"B10_int","2","blue","path:gga04218","Cellular senescence",133,7,0.0131454890669238,"KEGGPath"
"B10_int","2","blue","path:gga04530","Tight junction",136,7,0.0147132434605685,"KEGGPath"
"B10_int","2","blue","path:gga04330","Notch signaling pathway",52,4,0.0165741282891061,"KEGGPath"
"B10_int","2","blue","path:gga04520","Adherens junction",69,4,0.0413933992262867,"KEGGPath"
"B10_int","2","blue","path:gga04510","Focal adhesion",176,7,0.0497379392015031,"KEGGPath"
"B10_int","3","brown","path:gga04512","ECM-receptor interaction",70,13,4.30055291725756e-10,"KEGGPath"
"B10_int","3","brown","path:gga04510","Focal adhesion",176,19,6.82172937067411e-10,"KEGGPath"
"B10_int","3","brown","path:gga04270","Vascular smooth muscle contraction",111,9,0.000223247275481387,"KEGGPath"
"B10_int","3","brown","path:gga04010","MAPK signaling pathway",241,12,0.001863739962724,"KEGGPath"
"B10_int","3","brown","path:gga04020","Calcium signaling pathway",204,10,0.00487954949088685,"KEGGPath"
"B10_int","3","brown","path:gga04520","Adherens junction",69,5,0.00912781856121028,"KEGGPath"
"B10_int","3","brown","path:gga04672","Intestinal immune network for IgA production",24,3,0.00963177262528644,"KEGGPath"
"B10_int","3","brown","path:gga04514","Cell adhesion molecules",105,6,0.0135728032060616,"KEGGPath"
"B10_int","3","brown","path:gga00360","Phenylalanine metabolism",12,2,0.0200985569155339,"KEGGPath"
"B10_int","3","brown","path:gga04810","Regulation of actin cytoskeleton",189,8,0.0250829210118367,"KEGGPath"
"B10_int","3","brown","path:gga00910","Nitrogen metabolism",14,2,0.0270450060859078,"KEGGPath"
"B10_int","4","cyan","path:gga00030","Pentose phosphate pathway",25,2,0.00275185649248461,"KEGGPath"
"B10_int","4","cyan","path:gga00051","Fructose and mannose metabolism",34,2,0.00505494686809073,"KEGGPath"
"B10_int","4","cyan","path:gga00010","Glycolysis / Gluconeogenesis",48,2,0.00988629955496412,"KEGGPath"
"B10_int","4","cyan","path:gga04540","Gap junction",79,2,0.0254040168483163,"KEGGPath"
"B10_int","4","cyan","path:gga01200","Carbon metabolism",95,2,0.0356791287851341,"KEGGPath"
"B10_int","4","cyan","path:gga00910","Nitrogen metabolism",14,1,0.043043360047238,"KEGGPath"
"B10_int","6","green","path:gga04110","Cell cycle",114,23,1.50589506267601e-20,"KEGGPath"
"B10_int","6","green","path:gga04114","Oocyte meiosis",96,13,7.91945886289471e-10,"KEGGPath"
"B10_int","6","green","path:gga04914","Progesterone-mediated oocyte maturation",78,9,1.38459318183391e-06,"KEGGPath"
"B10_int","6","green","path:gga03030","DNA replication",29,6,2.56581713036971e-06,"KEGGPath"
"B10_int","6","green","path:gga03430","Mismatch repair",19,4,0.000123613143117824,"KEGGPath"
"B10_int","6","green","path:gga04115","p53 signaling pathway",63,6,0.000247121972758712,"KEGGPath"
"B10_int","6","green","path:gga03460","Fanconi anemia pathway",48,4,0.00452108697422664,"KEGGPath"
"B10_int","6","green","path:gga01232","Nucleotide metabolism",78,5,0.00477143590869796,"KEGGPath"
"B10_int","6","green","path:gga04210","Apoptosis",116,6,0.00586094108442993,"KEGGPath"
"B10_int","6","green","path:gga00240","Pyrimidine metabolism",55,4,0.00734585599774435,"KEGGPath"
"B10_int","6","green","path:gga04218","Cellular senescence",133,6,0.0111541911150972,"KEGGPath"
"B10_int","6","green","path:gga03440","Homologous recombination",36,3,0.01383743924781,"KEGGPath"
"B10_int","6","green","path:gga03420","Nucleotide excision repair",37,3,0.0149057786741543,"KEGGPath"
"B10_int","6","green","path:gga04540","Gap junction",79,4,0.0250029469975107,"KEGGPath"
"B10_int","6","green","path:gga00983","Drug metabolism - other enzymes",56,3,0.0438820263518891,"KEGGPath"
"B10_int","7","greenyellow","path:gga00910","Nitrogen metabolism",14,2,0.00140786972737468,"KEGGPath"
"B10_int","7","greenyellow","path:gga03267","Virion - Adenovirus",3,1,0.0120489585642629,"KEGGPath"
"B10_int","7","greenyellow","path:gga03265","Virion - Lyssavirus",4,1,0.016033524718384,"KEGGPath"
"B10_int","7","greenyellow","path:gga04512","ECM-receptor interaction",70,2,0.0323649065349071,"KEGGPath"
"B10_int","7","greenyellow","path:gga04620","Toll-like receptor signaling pathway",72,2,0.0340807493577109,"KEGGPath"
"B10_int","7","greenyellow","path:gga00430","Taurine and hypotaurine metabolism",12,1,0.047347308308422,"KEGGPath"
"B10_int","8","grey60","path:gga04261","Adrenergic signaling in cardiomyocytes",125,4,0.000164267907763641,"KEGGPath"
"B10_int","8","grey60","path:gga04514","Cell adhesion molecules",105,3,0.00163021356183696,"KEGGPath"
"B10_int","8","grey60","path:gga04310","Wnt signaling pathway",137,3,0.00347418887792024,"KEGGPath"
"B10_int","8","grey60","path:gga04260","Cardiac muscle contraction",61,2,0.00817882215243023,"KEGGPath"
"B10_int","8","grey60","path:gga00562","Inositol phosphate metabolism",68,2,0.0100828722653574,"KEGGPath"
"B10_int","8","grey60","path:gga04520","Adherens junction",69,2,0.0103694936564941,"KEGGPath"
"B10_int","8","grey60","path:gga04020","Calcium signaling pathway",204,3,0.0104480599823574,"KEGGPath"
"B10_int","8","grey60","path:gga04912","GnRH signaling pathway",77,2,0.0127908250461656,"KEGGPath"
"B10_int","8","grey60","path:gga04540","Gap junction",79,2,0.0134312170130099,"KEGGPath"
"B10_int","8","grey60","path:gga04916","Melanogenesis",87,2,0.0161291745840685,"KEGGPath"
"B10_int","8","grey60","path:gga04070","Phosphatidylinositol signaling system",87,2,0.0161291745840685,"KEGGPath"
"B10_int","8","grey60","path:gga04010","MAPK signaling pathway",241,3,0.0163349079930311,"KEGGPath"
"B10_int","8","grey60","path:gga04270","Vascular smooth muscle contraction",111,2,0.025464892467774,"KEGGPath"
"B10_int","8","grey60","path:gga04371","Apelin signaling pathway",114,2,0.0267557159260435,"KEGGPath"
"B10_int","8","grey60","path:gga04621","NOD-like receptor signaling pathway",115,2,0.0271918336679982,"KEGGPath"
"B10_int","8","grey60","path:gga00604","Glycosphingolipid biosynthesis - ganglio series",13,1,0.0287463468745052,"KEGGPath"
"B10_int","9","lightcyan","path:gga04142","Lysosome",116,3,0.00367162577274878,"KEGGPath"
"B10_int","9","lightcyan","path:gga04145","Phagosome",125,2,0.0442995735684944,"KEGGPath"
"B10_int","10","lightgreen","path:gga04010","MAPK signaling pathway",241,4,0.00170557513945475,"KEGGPath"
"B10_int","10","lightgreen","path:gga04510","Focal adhesion",176,3,0.00634318260512065,"KEGGPath"
"B10_int","10","lightgreen","path:gga04261","Adrenergic signaling in cardiomyocytes",125,2,0.0297748036219017,"KEGGPath"
"B10_int","10","lightgreen","path:gga04145","Phagosome",125,2,0.0297748036219017,"KEGGPath"
"B10_int","10","lightgreen","path:gga04530","Tight junction",136,2,0.0347584493983948,"KEGGPath"
"B10_int","11","lightyellow","path:gga04080","Neuroactive ligand-receptor interaction",305,5,0.000449346879271816,"KEGGPath"
"B10_int","11","lightyellow","path:gga04012","ErbB signaling pathway",76,2,0.0116866877411512,"KEGGPath"
"B10_int","11","lightyellow","path:gga00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,1,0.029907873031169,"KEGGPath"
"B10_int","12","magenta","path:gga04260","Cardiac muscle contraction",61,4,0.000411261996115173,"KEGGPath"
"B10_int","12","magenta","path:gga04261","Adrenergic signaling in cardiomyocytes",125,5,0.000755270084241924,"KEGGPath"
"B10_int","12","magenta","path:gga04020","Calcium signaling pathway",204,6,0.00112071278046076,"KEGGPath"
"B10_int","12","magenta","path:gga04371","Apelin signaling pathway",114,4,0.00418162414997889,"KEGGPath"
"B10_int","12","magenta","path:gga04540","Gap junction",79,3,0.0105693979550741,"KEGGPath"
"B10_int","12","magenta","path:gga04145","Phagosome",125,3,0.0352381142061385,"KEGGPath"
"B10_int","12","magenta","path:gga05132","Salmonella infection",221,4,0.038373501701166,"KEGGPath"
"B10_int","13","midnightblue",NA,"Cell adhesion molecules",105,2,0.0427855998868435,NA
"B10_int","14","pink","path:gga04145","Phagosome",125,4,0.00662657251954059,"KEGGPath"
"B10_int","14","pink","path:gga05132","Salmonella infection",221,5,0.0103303771021168,"KEGGPath"
"B10_int","14","pink","path:gga03267","Virion - Adenovirus",3,1,0.0178156267129321,"KEGGPath"
"B10_int","14","pink","path:gga03265","Virion - Lyssavirus",4,1,0.0236842315275532,"KEGGPath"
"B10_int","15","purple","path:gga01232","Nucleotide metabolism",78,3,0.0075590332302414,"KEGGPath"
"B10_int","15","purple","path:gga00230","Purine metabolism",116,3,0.0219356189833265,"KEGGPath"
"B10_int","15","purple","path:gga01240","Biosynthesis of cofactors",117,3,0.0224315505750733,"KEGGPath"
