"X","module","Gene.stable.ID","corr","Gene.name","tf_member","member"
1,"black","ENSGALG00000039982",0.0441513889943691,"IRF5","black_ENSGALG00000039982","no"
2,"blue","ENSGALG00000039982",-0.00514568011977755,"IRF5","blue_ENSGALG00000039982","no"
3,"brown","ENSGALG00000039982",-0.0144452064083385,"IRF5","brown_ENSGALG00000039982","no"
4,"cyan","ENSGALG00000039982",-0.0138940338652914,"IRF5","cyan_ENSGALG00000039982","no"
5,"darkgreen","ENSGALG00000039982",0.0147548034517886,"IRF5","darkgreen_ENSGALG00000039982","no"
6,"darkred","ENSGALG00000039982",0.000797537659048117,"IRF5","darkred_ENSGALG00000039982","no"
7,"green","ENSGALG00000039982",0.0346700383288363,"IRF5","green_ENSGALG00000039982","no"
8,"greenyellow","ENSGALG00000039982",0.0143930307076713,"IRF5","greenyellow_ENSGALG00000039982","no"
9,"grey60","ENSGALG00000039982",0.0107903869788869,"IRF5","grey60_ENSGALG00000039982","no"
10,"lightcyan","ENSGALG00000039982",-0.00154610723280712,"IRF5","lightcyan_ENSGALG00000039982","no"
11,"lightgreen","ENSGALG00000039982",0.000118913936348311,"IRF5","lightgreen_ENSGALG00000039982","no"
12,"lightyellow","ENSGALG00000039982",0.00403360928760214,"IRF5","lightyellow_ENSGALG00000039982","no"
13,"magenta","ENSGALG00000039982",0.0408421213004828,"IRF5","magenta_ENSGALG00000039982","no"
14,"midnightblue","ENSGALG00000039982",0.00236409681873463,"IRF5","midnightblue_ENSGALG00000039982","no"
15,"pink","ENSGALG00000039982",0.0877096550051072,"IRF5","pink_ENSGALG00000039982","no"
16,"purple","ENSGALG00000039982",-0.00271105052006641,"IRF5","purple_ENSGALG00000039982","no"
17,"red","ENSGALG00000039982",0.0492743671558098,"IRF5","red_ENSGALG00000039982","no"
18,"royalblue","ENSGALG00000039982",0.00957527131973211,"IRF5","royalblue_ENSGALG00000039982","no"
19,"salmon","ENSGALG00000039982",0.000144099665716105,"IRF5","salmon_ENSGALG00000039982","no"
20,"tan","ENSGALG00000039982",0.00664599208843102,"IRF5","tan_ENSGALG00000039982","no"
21,"turquoise","ENSGALG00000039982",-0.029038778898215,"IRF5","turquoise_ENSGALG00000039982","no"
22,"yellow","ENSGALG00000039982",0.000100161516908293,"IRF5","yellow_ENSGALG00000039982","no"
23,"black","ENSGALG00000040060",0.0569132290085812,"NRF1","black_ENSGALG00000040060","no"
24,"blue","ENSGALG00000040060",-0.0213499698536194,"NRF1","blue_ENSGALG00000040060","no"
25,"brown","ENSGALG00000040060",-0.0898986836545473,"NRF1","brown_ENSGALG00000040060","no"
26,"cyan","ENSGALG00000040060",-0.00199083091740339,"NRF1","cyan_ENSGALG00000040060","no"
27,"darkgreen","ENSGALG00000040060",0.0186464518495181,"NRF1","darkgreen_ENSGALG00000040060","no"
28,"darkred","ENSGALG00000040060",-0.0281835188850894,"NRF1","darkred_ENSGALG00000040060","no"
29,"green","ENSGALG00000040060",-0.0283339468518889,"NRF1","green_ENSGALG00000040060","no"
