"cluster","Gene.stable.ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Gene.name","clust_id","data"
"cl-1","ENSGALG00000029393",1.91877777588562e-145,-1.60624104483568,0.005,0.67,3.22891924126032e-141,"HOXC10",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000040021",3.1440809455142e-93,-1.28518181237867,0,0.455,5.29085941511129e-89,"HOXA11",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000028983",8.41902234203262e-85,-1.48797181514526,0.231,0.778,1.41675307971725e-80,"HOXA9",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000041091",1.18091195983664e-32,-0.499904096569976,1,0.998,1.9872386460131e-28,"ATP6",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000032079",1.66063654448392e-26,-0.503408423266668,1,1,2.79451917705754e-22,"CYTB",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000032142",4.47003443384311e-22,-0.455903653813533,1,0.998,7.52217394527118e-18,"MT-CO1",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000042750",1.08926823319536e-21,-0.505531480295696,1,1,1.83302058282116e-17,"ND1",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000037838",1.77168572477478e-20,-0.497213550246879,0.997,0.998,2.98139273765099e-16,"ND6",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000000150",5.61054011651456e-20,0.263300737568833,0.998,0.998,9.4414169080707e-16,"RPL9",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000028872",2.5893969244716e-19,0.275906421650879,1,1,4.35743714450081e-15,"TPT1",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000043768",2.98963182896776e-19,-0.482235768349292,0.989,0.988,5.03095244178694e-15,"MT-ND2",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000030436",8.44333045054908e-19,-0.574013987329423,0.987,0.979,1.4208436482184e-14,"ND3",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000002157",1.0190571026394e-18,0.248673767515141,0.998,0.998,1.71486929232159e-14,"RPS17",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000001658",1.43541380488355e-18,0.232893129552727,1,1,2.41551435085804e-14,"RPL19",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000032456",1.47483975535337e-18,-0.363399012066661,1,0.998,2.48186034030865e-14,"COII",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000036229",1.74283472587839e-17,-0.413195543562447,1,0.998,2.93284227670815e-13,"ND4",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000035334",4.82536237247324e-17,-0.386929489556279,1,1,8.12011980039797e-13,"COX3",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000000122",9.32150369268791e-17,0.232884838180461,0.998,1,1.56862264140552e-12,"GNB2L1",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000016232",1.91781117898351e-16,0.24773749519708,1,1,3.22729265199345e-12,"RPL8",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000030120",1.98868505565313e-16,0.270283559249112,1,0.988,3.34655921165309e-12,"ITGB1BP3",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000043379",3.77487357964933e-16,0.256605880870293,1,0.991,6.35235725983389e-12,"RPL14",1,"B10int_vs_L10int"
"cl-1","ENSGALG00000053058",4.61679161788281e-16,-0.327645876396207,0.731,0.695,7.76913693457319e-12,"LAMTOR2",1,"B10int_vs_L10int"
